technique_id,technique_name,tactic,platforms,subtechniques,parent_technique,groups,software,campaigns,data_sources,data_components,mitigations,detection_text,system_requirements,permissions_required,effective_permissions,stealth_score,noise_score,log_surface_area,privilege_stealth_factor,detection_difficulty,lolbin_usage,edr_visibility,cloud_visibility
T1161,LC_LOAD_DYLIB Addition,persistence,macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1132.001,Standard Encoding,command-and-control,ESXi|Linux|Windows|macOS,,,G0032|G0034|G0040|G0060|G0064|G0069|G0073|G0081|G0125|G0127|G1044,S0014|S0015|S0030|S0032|S0044|S0045|S0053|S0081|S0083|S0084|S0085|S0093|S0113|S0124|S0128|S0129|S0137|S0144|S0154|S0170|S0171|S0184|S0187|S0200|S0223|S0251|S0264|S0265|S0266|S0268|S0269|S0270|S0275|S0284|S0332|S0338|S0340|S0352|S0354|S0356|S0367|S0373|S0374|S0376|S0377|S0379|S0385|S0409|S0410|S0414|S0439|S0441|S0458|S0459|S0472|S0476|S0487|S0495|S0514|S0520|S0543|S0559|S0603|S0610|S0631|S0632|S0633|S0649|S0650|S0653|S0663|S0673|S0674|S0678|S0696|S1018|S1020|S1021|S1024|S1026|S1030|S1031|S1037|S1039|S1047|S1060|S1076|S1078|S1085|S1099|S1108|S1110|S1112|S1115|S1116|S1117|S1138|S1141|S1145|S1156|S1160|S1166|S1169|S1183|S1190|S1193|S1196|S1198|S1202|S1240|S9015|S9028|S9037,C0044,,,M1031,,,,,10,0,0,1,unknown,,,
T1027.009,Embedded Payloads,stealth,Linux|Windows|macOS,,,G0032|G1036|G1037,S0022|S0126|S0231|S0367|S0457|S0483|S0567|S0649|S1048|S1052|S1081|S1134|S1135|S1137|S1145|S1149|S1158|S1159,C0021|C0057,,,M1040|M1049,,,,,10,0,0,1,unknown,,,
T1150,Plist Modification,persistence|privilege-escalation|stealth,macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1556.003,Pluggable Authentication Modules,credential-access|defense-impairment|persistence,Linux|macOS,,,,S0377|S0468,,,,M1026|M1032,,,,,10,0,0,1,unknown,,,
T1578.004,Revert Cloud Instance,defense-impairment,IaaS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1148,HISTCONTROL,stealth,Linux|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1592,Gather Victim Host Information,reconnaissance,PRE,,,G1017,,,,,M1056,,,,,10,0,0,1,unknown,,,
T1596.003,Digital Certificates,reconnaissance,PRE,,,,,,,,M1056,,,,,10,0,0,1,unknown,,,
T1056.001,Keylogging,collection|credential-access,Linux|Network Devices|Windows|macOS,,,G0004|G0007|G0012|G0022|G0027|G0032|G0034|G0043|G0045|G0049|G0050|G0054|G0059|G0068|G0082|G0085|G0087|G0094|G0096|G0130|G0131|G1001|G1016|G1017|G1023|G1044,S0004|S0012|S0013|S0017|S0018|S0019|S0021|S0023|S0030|S0032|S0033|S0038|S0045|S0050|S0058|S0062|S0070|S0072|S0076|S0088|S0089|S0090|S0094|S0113|S0115|S0125|S0128|S0130|S0148|S0149|S0152|S0154|S0161|S0167|S0170|S0187|S0192|S0194|S0198|S0201|S0213|S0234|S0240|S0247|S0248|S0253|S0257|S0260|S0261|S0262|S0279|S0282|S0283|S0330|S0331|S0332|S0334|S0336|S0337|S0338|S0339|S0342|S0348|S0356|S0363|S0373|S0375|S0378|S0379|S0381|S0385|S0387|S0409|S0410|S0412|S0414|S0428|S0434|S0437|S0438|S0439|S0447|S0454|S0455|S0467|S0526|S0531|S0533|S0567|S0569|S0593|S0595|S0622|S0625|S0643|S0649|S0650|S0652|S0660|S0662|S0670|S0673|S0692|S1012|S1016|S1044|S1050|S1059|S1066|S1087|S1090|S1111|S1122|S1146|S1149|S1159|S1207|S1226|S1233|S1235|S1239|S1245|S1249|S9013|S9017|S9020,C0014|C0028|C0029,,,,,,,,10,0,0,1,unknown,,,
T1564.012,File/Path Exclusions,stealth,Linux|Windows|macOS,,,G0010,,,,,M1013|M1049,,,,,10,0,0,1,unknown,,,
T1222.002,Linux and Mac Permissions,defense-impairment,Linux|macOS,,,G0050|G0106|G0139,S0281|S0352|S0402|S0482|S0587|S0598|S0599|S0658|S1070|S1105|S9013,C0035,,,M1022|M1026,,,,,10,0,0,1,unknown,,,
T1110.001,Password Guessing,credential-access,Containers|ESXi|IaaS|Identity Provider|Linux|Network Devices|Office Suite|SaaS|Windows|macOS,,,G0007|G0016|G1055,S0020|S0341|S0367|S0374|S0453|S0488|S0532|S0598|S0698,,,,M1027|M1032|M1036|M1051,,,,,10,0,0,1,unknown,,,
T1216.001,PubPrn,stealth,Windows,,,G0050,,,,,M1038|M1040,,,,,10,0,0,1,unknown,,,
T1597.002,Purchase Technical Data,reconnaissance,PRE,,,G1004,,,,,M1056,,,,,10,0,0,1,unknown,,,
T1003,OS Credential Dumping,credential-access,Linux|Windows|macOS,,,G0001|G0007|G0033|G0039|G0050|G0054|G0065|G0087|G0129|G0131|G1003|G1043|G1053,S0030|S0048|S0052|S0094|S0232|S0379|S1146,,,,M1015|M1017|M1025|M1026|M1027|M1028|M1040|M1041|M1043,,,,,10,0,0,1,unknown,,,
T1129,Shared Modules,execution,Linux|Windows|macOS,,,G0129,S0032|S0196|S0203|S0352|S0373|S0377|S0415|S0438|S0455|S0467|S0501|S0520|S0567|S0603|S0607|S0661|S0673|S1039|S1078|S1154|S1185,,,,M1038,,,,,10,0,0,1,unknown,,,
T1602,Data from Configuration Repository,collection,Network Devices,,,,,,,,M1030|M1031|M1037|M1041|M1051|M1054,,,,,10,0,0,1,unknown,,,
T1561.002,Disk Structure Wipe,impact,Linux|Network Devices|Windows|macOS,,,G0032|G0034|G0067|G0082|G1003|G1055,S0140|S0364|S0380|S0607|S0689|S0693|S0697|S1134|S1135|S1136|S1151|S1178|S9002,C0038,,,M1053,,,,,10,0,0,1,unknown,,,
T1498.001,Direct Network Flood,impact,IaaS|Linux|Windows|macOS,,,,,,,,M1037,,,,,10,0,0,1,unknown,,,
T1492,Stored Data Manipulation,impact,Linux|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1574.007,Path Interception by PATH Environment Variable,execution|stealth,Linux|Windows|macOS,,,,S0194|S0363|S1111|S9015,,,,M1022|M1038|M1047,,,,,10,0,0,1,unknown,,,
